tempo= 125
4.014583333333333 y
4.5625 I
5.0625 a
5.545833333333333 S
6.022916666666666 G
6.545833333333333 I
7.045833333333333 a
7.53125 S
8.014583333333333 f
8.577083333333333 I
9.045833333333333 a
9.53125 S
10.045833333333333 G
10.545833333333333 I
11.014583333333333 a
11.5625 S
12.03125 y
12.545833333333333 I
13.03125 a
13.53125 S
14.045833333333333 G
14.51875 I
15.045833333333333 a
15.53125 S
16.045833333333334 f
16.53125 I
17.03125 a
17.545833333333334 S
18.03125 G
18.545833333333334 I
19.03125 a
19.53125 S
20.016666666666666 j
20.03125 2
20.045833333333334 9
20.170833333333334 H
20.420833333333334 G
20.53125 S
20.670833333333334 p
20.78125 2
20.8125 9
20.875 O
21.014583333333334 I
21.21875 u
21.420833333333334 Y
21.516666666666666 e
21.545833333333334 TQ
22.53125 T
22.545833333333334 QI
23.03125 ea
23.045833333333334 6
23.53125 S
23.545833333333334 9
24.03125 2
24.045833333333334 9
24.058333333333334 f
24.53125 I
24.797916666666666 92
24.991666666666667 a
25.485416666666666 S
25.502083333333335 Q
25.51875 T
25.53125 e
26.045833333333334 G
26.558333333333334 I
26.572916666666668 e
26.585416666666667 T
27.03125 a
27.045833333333334 e
27.058333333333334 6
27.53125 9
27.545833333333334 S
28.039583333333333 *
28.045833333333334 Q
28.05625 $
28.085416666666667 a
28.53125 I
28.802083333333332 $
28.808333333333334 Q
29.03125 a
29.535416666666666 Q
29.539583333333333 T
29.545833333333334 e
29.558333333333334 S
30.058333333333334 G
30.53125 e
30.554166666666667 I
31.01875 a*
31.03125 T
31.541666666666668 S
31.56875 Q
32.03125 Q
32.0375 $
32.041666666666664 H
32.541666666666664 I
32.81875 Q
32.822916666666664 $
33.04375 a
33.53125 eT
33.5625 S
34.045833333333334 G
34.53125 e
34.545833333333334 I
35.01875 *
35.03125 a
35.05833333333333 T
35.51875 Q
35.53125 S
36.03125 H9
36.045833333333334 O
36.05833333333333 2
36.53125 Q
36.78125 O
36.795833333333334 H9
37.045833333333334 r
37.51875 Q
37.53125 e
37.552083333333336 G
37.55625 I
37.55833333333333 T
38.01875 G
38.03958333333333 I
38.51875 Q
39.01875 r
39.04375 6
39.53125 9
39.547916666666666 T
40.025 9
40.03125 u
40.0625 2
40.51875 Q
40.795833333333334 9
41.03125 r
41.53125 T
41.552083333333336 G
41.55416666666667 Q
41.575 e
41.766666666666666 H
42.03125 I
42.07083333333333 j
42.077083333333334 p
42.53125 Q
42.77916666666667 k
42.8125 a
43.03125 6
43.045833333333334 r
43.53125 pT
43.545833333333334 j
43.80416666666667 H
44.01875 !
44.041666666666664 *
44.047916666666666 I
44.05625 G
44.53125 W
44.80416666666667 I
44.81041666666667 G
44.822916666666664 *
45.01875 r
45.53333333333333 0
45.54375 W
45.545833333333334 T
45.547916666666666 f
45.552083333333336 u
46.03541666666667 f
46.05416666666667 u
46.55416666666667 W
47.05416666666667 %
47.05833333333333 r
47.525 *
47.545833333333334 T
48.01875 Y
48.045833333333334 *
48.05833333333333 !
48.54375 W
48.7625 *
49.041666666666664 r
49.51875 0
49.545833333333334 W
49.55833333333333 T
50.05833333333333 u
50.545833333333334 W
51.01875 %
51.03125 r
51.54375 S
51.55625 T
52.01875 O
52.03333333333333 H
52.0375 2
52.045833333333334 9
52.55 Q
52.795833333333334 O
52.80416666666667 9
52.80833333333333 H
53.041666666666664 r
53.52916666666667 T
53.53958333333333 G
53.54375 I
53.545833333333334 e
53.55833333333333 Q
54.0625 G
54.07083333333333 I
54.53125 Q
55.0375 6
55.045833333333334 r
55.545833333333334 9
55.55833333333333 T
56.045833333333334 u
56.05416666666667 92
56.545833333333334 Q
